Input.audio_url,buzz_majority,buzz_mean,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,sum,MAX_count,1sec_chunk_no_buzz
https://patrickchwalek.com/audio/native/mp3/Native_sample_3381.mp3,no,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
https://patrickchwalek.com/audio/native/mp3/Native_sample_1675.mp3,yes,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
https://patrickchwalek.com/audio/invasive/mp3/Invasive_sample_1517.mp3,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
https://patrickchwalek.com/audio/native/mp3/Native_sample_2878.mp3,yes,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
https://patrickchwalek.com/audio/native/mp3/Native_sample_45.mp3,no,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
https://patrickchwalek.com/audio/native/mp3/Native_sample_59.mp3,no,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
https://patrickchwalek.com/audio/invasive/mp3/Invasive_sample_2199.mp3,yes,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
https://patrickchwalek.com/audio/invasive/mp3/Invasive_sample_1398.mp3,no,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
https://patrickchwalek.com/audio/native/mp3/Native_sample_1294.mp3,yes,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
https://patrickchwalek.com/audio/invasive/mp3/Invasive_sample_677.mp3,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
https://patrickchwalek.com/audio/invasive/mp3/Invasive_sample_2435.mp3,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
https://patrickchwalek.com/audio/native/mp3/Native_sample_2509.mp3,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
